date,open,high,low,close,volume
1-Aug-17,3.9300,3.9400,3.7900,3.8700,8748270
2-Aug-17,3.7000,4.2700,3.6500,4.2300,32026828
3-Aug-17,4.2100,4.3400,4.1200,4.2600,10752218
4-Aug-17,4.2200,4.2900,4.0400,4.1200,9139459
5-Aug-17,4.1000,4.1800,4.0300,4.1200,5208081
6-Aug-17,4.1200,4.2100,4.0400,4.0700,5809985
7-Aug-17,3.9600,3.9900,3.8600,3.9600,10211634
8-Aug-17,3.9400,4.0269,3.8900,4.0000,7800134
9-Aug-17,3.9700,4.0100,3.8900,3.9500,4882437
10-Aug-17,4.0200,4.0700,3.9500,3.9800,4483841
11-Aug-17,4.0100,4.0300,3.9000,3.9200,4734762
12-Aug-17,3.9100,3.9300,3.8200,3.8500,4070771
13-Aug-17,3.8200,4.0000,3.8000,3.9900,5413395
14-Aug-17,4.0000,4.0200,3.9500,3.9900,4152204
15-Aug-17,4.0100,4.1300,4.0000,4.0800,4473062
16-Aug-17,4.0400,4.1150,3.9900,4.0700,4885788
17-Aug-17,4.0600,4.1100,4.0200,4.0800,3628663
18-Aug-17,4.0900,4.1100,4.0400,4.0700,3621510
19-Aug-17,4.0500,4.1500,4.0400,4.1400,5028216
20-Aug-17,4.1200,4.2900,4.0800,4.2900,7830525
21-Aug-17,4.2800,4.3150,4.2100,4.2800,4579780
22-Aug-17,4.2900,4.5000,4.2900,4.4400,10666260
23-Aug-17,4.4000,4.4900,4.3900,4.4300,4604432
24-Aug-17,4.4100,4.4700,4.2900,4.3100,5154181
25-Aug-17,4.3300,4.4700,4.3200,4.4000,5788200
26-Aug-17,4.3800,4.4500,4.3400,4.3700,3844276
27-Aug-17,4.3500,4.4000,4.2800,4.3800,5492128
28-Aug-17,4.3700,4.4200,4.1600,4.4100,6278605
29-Aug-17,4.4000,4.4200,4.3200,4.3700,3772715
30-Aug-17,4.3700,4.3900,4.3400,4.3800,4639491
31-Aug-17,4.3500,4.3800,4.3200,4.3300,3866952
1-Sep-17,4.3500,4.4100,4.2800,4.4100,11694654
2-Sep-17,4.3700,4.3750,4.3100,4.3400,3793543
3-Sep-17,4.3500,4.4000,4.2800,4.3900,4538376
4-Sep-17,4.4000,4.6400,4.3850,4.5300,8877335
5-Sep-17,4.5600,4.6200,4.5500,4.5600,4641740
6-Sep-17,4.5500,4.6900,4.5500,4.6400,7946777
7-Sep-17,4.6200,4.7900,4.6200,4.7600,9115657
8-Sep-17,4.7900,5.0200,4.7500,4.9100,11730912
9-Sep-17,4.9000,5.0000,4.8000,5.0000,7062482
10-Sep-17,4.9800,5.2200,4.9167,5.2000,12704544
11-Sep-17,5.2000,5.2500,5.0100,5.0800,6404863
12-Sep-17,5.1000,5.3300,5.0750,5.2800,9148885
13-Sep-17,5.2600,5.3400,5.1600,5.1800,6351134
14-Sep-17,5.1700,5.1800,5.0600,5.1400,7028503
15-Sep-17,5.1700,5.1700,5.0100,5.0300,4617779
16-Sep-17,5.0200,5.1200,4.9900,5.0600,6320603
17-Sep-17,5.0700,5.1100,4.9300,4.9900,4767687
18-Sep-17,4.8000,4.9100,4.7700,4.8300,9429380
19-Sep-17,4.8200,4.8316,4.6600,4.6700,9306858
20-Sep-17,4.6600,4.6950,4.6100,4.6300,4065437
21-Sep-17,4.7000,4.8500,4.6900,4.7000,9119363
22-Sep-17,4.7500,4.9600,4.7200,4.9500,6460535
23-Sep-17,5.0000,5.1200,4.9700,5.0000,9337529
24-Sep-17,4.9900,5.0300,4.8700,4.9500,5522918
25-Sep-17,4.9800,4.9800,4.5600,4.8000,19493238
26-Sep-17,4.7800,4.7800,4.6000,4.6100,4223635
27-Sep-17,4.6700,4.7000,4.6100,4.6700,4616712
28-Sep-17,4.6400,4.7200,4.6400,4.6600,2969898
29-Sep-17,4.6700,4.7185,4.5800,4.6100,8329106
30-Sep-17,4.6000,4.6400,4.4900,4.6400,7411479
1-Oct-17,4.6200,4.7200,4.6000,4.6300,7396802
2-Oct-17,4.6500,4.7900,4.5600,4.7700,16863153
3-Oct-17,5.0200,5.1500,4.8400,5.1200,21746734
4-Oct-17,5.1600,5.3300,5.1100,5.2700,15021771
5-Oct-17,5.2000,5.4900,5.1965,5.4600,14160799
6-Oct-17,5.3100,5.6300,5.3100,5.4800,10954838
7-Oct-17,5.4800,5.4900,5.3250,5.4400,7714034
8-Oct-17,5.4700,5.5900,5.3210,5.5900,9154604
9-Oct-17,5.5400,5.6700,5.5100,5.6100,6878088
10-Oct-17,5.6400,5.6400,5.3500,5.3700,11553770
11-Oct-17,5.3700,5.3800,5.2700,5.3200,8553591
12-Oct-17,5.2900,5.3500,5.1600,5.1800,5585786
13-Oct-17,5.1400,5.3600,5.0900,5.2200,12488575
14-Oct-17,5.2400,5.4600,5.2400,5.4400,8936345
15-Oct-17,5.4100,5.5500,5.4100,5.4700,8221046
16-Oct-17,5.4900,5.5900,5.4700,5.5100,4787746
17-Oct-17,5.5200,5.6950,5.5093,5.6200,8028707
18-Oct-17,5.6400,5.7000,5.6200,5.6800,4229399
19-Oct-17,5.7000,5.7600,5.7000,5.7200,2954302
20-Oct-17,5.7200,5.7500,5.5700,5.6900,7177250
21-Oct-17,5.7000,5.9900,5.6500,5.8200,11344425
22-Oct-17,5.8400,5.9300,5.5700,5.7600,10881211
23-Oct-17,5.7500,5.8200,5.6000,5.6400,11601811
24-Oct-17,5.6600,5.7600,5.4700,5.6300,8489800
25-Oct-17,5.6600,5.7900,5.6100,5.7300,10749167
26-Oct-17,4.1000,4.1800,4.0300,4.1200,5208081
27-Oct-17,4.1200,4.2100,4.0400,4.0700,5809985
28-Oct-17,3.9600,3.9900,3.8600,3.9600,10211634
29-Oct-17,3.9400,4.0269,3.8900,4.0000,7800134
30-Oct-17,3.9700,4.0100,3.8900,3.9500,4882437
31-Oct-17,4.0200,4.0700,3.9500,3.9800,4483841
1-Nov-17,4.0100,4.0300,3.9000,3.9200,4734762
2-Nov-17,3.9100,3.9300,3.8200,3.8500,4070771
3-Nov-17,3.8200,4.0000,3.8000,3.9900,5413395
4-Nov-17,4.0000,4.0200,3.9500,3.9900,4152204
5-Nov-17,4.0100,4.1300,4.0000,4.0800,4473062
6-Nov-17,4.0400,4.1150,3.9900,4.0700,4885788
7-Nov-17,4.0600,4.1100,4.0200,4.0800,3628663
8-Nov-17,4.0900,4.1100,4.0400,4.0700,3621510
9-Nov-17,4.0500,4.1500,4.0400,4.1400,5028216
10-Nov-17,4.1200,4.2900,4.0800,4.2900,7830525
11-Nov-17,4.2800,4.3150,4.2100,4.2800,4579780
12-Nov-17,4.2900,4.5000,4.2900,4.4400,10666260
13-Nov-17,4.4000,4.4900,4.3900,4.4300,4604432
14-Nov-17,4.4100,4.4700,4.2900,4.3100,5154181
15-Nov-17,4.3300,4.4700,4.3200,4.4000,5788200
16-Nov-17,4.3800,4.4500,4.3400,4.3700,3844276
17-Nov-17,4.3500,4.4000,4.2800,4.3800,5492128
18-Nov-17,4.3700,4.4200,4.1600,4.4100,6278605
19-Nov-17,4.4000,4.4200,4.3200,4.3700,3772715
20-Nov-17,4.3700,4.3900,4.3400,4.3800,4639491
21-Nov-17,4.3500,4.3800,4.3200,4.3300,3866952
22-Nov-17,4.3500,4.4100,4.2800,4.4100,11694654
23-Nov-17,4.3700,4.3750,4.3100,4.3400,3793543
24-Nov-17,4.3500,4.4000,4.2800,4.3900,4538376
25-Nov-17,4.4000,4.6400,4.3850,4.5300,8877335
26-Nov-17,4.5600,4.6200,4.5500,4.5600,4641740
27-Nov-17,4.5500,4.6900,4.5500,4.6400,7946777
28-Nov-17,4.6200,4.7900,4.6200,4.7600,9115657
29-Nov-17,4.7900,5.0200,4.7500,4.9100,11730912
30-Nov-17,4.9000,5.0000,4.8000,5.0000,7062482
1-Dec-17,4.9800,5.2200,4.9167,5.2000,12704544
